REPORT_ID,UND_UNIT_NUMBER,CASUALTY_NUMBER,Casualty Type,Sex_x,AGE,Position In Veh,Thrown Out,Injury Extent,Seat Belt,Unit Type,Licence Type,Unit Movement,Number Occupants,Stats Area,Total Units,Total Cas,Day,Time,Area Speed,Position Type,Horizontal Align,Vertical Align,Moisture Cond,Weather Cond,DayNight,Crash Type,Traffic Ctrls
2017-26-15/08/2019,1,1,Passenger,Male,047,Front Seat Left Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Utility,Full,Straight Ahead,3.0,2 Metropolitan,2,1,Monday,01:20 pm,110,Freeway,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-32-15/08/2019,2,1,Rider,Male,048,Rider of Motorcycle,Thrown Out,Treated at Hospital,,Motor Cycle,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Monday,12:07 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,Roundabout
2017-33-15/08/2019,1,1,Rider,Female,045,,Thrown Out,Treated at Hospital,,Pedal Cycle,,Straight Ahead,1.0,2 Metropolitan,2,1,Monday,06:40 pm,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Roundabout
2017-35-15/08/2019,2,1,Rider,Male,052,Rider of Motorcycle,Thrown Out,Treated at Hospital,,Motor Cycle,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Monday,07:30 pm,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Roundabout
2017-37-15/08/2019,2,1,Driver,Male,033,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,2.0,2 Metropolitan,3,1,Monday,10:20 am,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
2017-39-15/08/2019,1,1,Driver,Female,042,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Station Wagon,Full,Straight Ahead,1.0,2 Metropolitan,4,2,Tuesday,05:45 am,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Head On,No Control
2017-39-15/08/2019,2,1,Driver,Male,036,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Station Wagon,Full,Straight Ahead,1.0,2 Metropolitan,4,2,Tuesday,05:45 am,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Head On,No Control
2017-40-15/08/2019,1,1,Passenger,Female,012,Rear Seat Left Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,5.0,2 Metropolitan,2,1,Monday,02:40 pm,80,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2017-42-15/08/2019,1,1,Passenger,Male,017,Front Seat Left Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Utility,Full,Straight Ahead,2.0,2 Metropolitan,2,1,Tuesday,12:10 pm,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
2017-46-15/08/2019,1,1,Driver,Female,016,Driver,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Learners,Left Turn,2.0,2 Metropolitan,2,1,Tuesday,11:38 am,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,Traffic Signals
2017-49-15/08/2019,1,1,Driver,Female,018,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Unknown,Stopped on Carriageway,2.0,2 Metropolitan,2,1,Monday,07:30 pm,80,T-Junction,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
2017-50-15/08/2019,1,1,Driver,Female,017,Driver,Not Thrown Out,Treated at Hospital,Fitted - Unknown if Worn,Motor Cars - Sedan,Provisional 2,Straight Ahead,1.0,2 Metropolitan,2,1,Monday,09:19 pm,100,Freeway,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,No Control
2017-54-15/08/2019,1,1,Driver,Female,054,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Station Wagon,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Tuesday,02:33 pm,50,Not Divided,"CURVED, VIEW OBSCURED",Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2017-57-15/08/2019,1,1,Driver,Female,051,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Unlicenced,Stopped on Carriageway,1.0,3 Country,2,1,Tuesday,02:40 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-59-15/08/2019,1,1,Driver,Male,060,Driver,Not Thrown Out,By Private,Fitted - Worn,Utility,Full,Right Turn,1.0,2 Metropolitan,2,2,Tuesday,03:46 pm,60,T-Junction,Straight road,Slope,Dry,Not Raining,Daylight,Right Turn,Traffic Signals
2017-59-15/08/2019,2,1,Driver,Female,064,Driver,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,2 Metropolitan,2,2,Tuesday,03:46 pm,60,T-Junction,Straight road,Slope,Dry,Not Raining,Daylight,Right Turn,Traffic Signals
2017-62-15/08/2019,1,1,Driver,Male,019,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Provisional 2,Straight Ahead,2.0,2 Metropolitan,2,1,Tuesday,05:20 pm,80,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,Give Way Sign
2017-66-15/08/2019,1,1,Driver,Female,035,Driver,Not Thrown Out,Admitted to Hospital,Fitted - Not Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,3 Country,2,2,Tuesday,05:06 pm,100,Not Divided,Straight road,Crest of Hill,Dry,Not Raining,Daylight,Head On,No Control
2017-66-15/08/2019,2,1,Driver,Female,058,Driver,Not Thrown Out,Admitted to Hospital,Fitted - Worn,Station Wagon,Full,Straight Ahead,1.0,3 Country,2,2,Tuesday,05:06 pm,100,Not Divided,Straight road,Crest of Hill,Dry,Not Raining,Daylight,Head On,No Control
2017-70-15/08/2019,2,1,Driver,Female,020,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Provisional 1 ,Straight Ahead,1.0,2 Metropolitan,2,1,Wednesday,08:20 am,80,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
2017-71-15/08/2019,2,1,Driver,Male,055,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Utility,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Wednesday,06:58 am,70,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
2017-72-15/08/2019,1,1,Driver,Female,029,Driver,Not Thrown Out,By Private,Fitted - Worn,Station Wagon,Unknown,Stopped on Carriageway,2.0,2 Metropolitan,2,1,Tuesday,05:50 pm,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
2017-74-15/08/2019,1,1,Driver,Male,025,Driver,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Full,Stopped on Carriageway,2.0,2 Metropolitan,2,1,Monday,06:40 pm,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-76-15/08/2019,1,1,Driver,Female,060,Driver,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Wednesday,11:00 am,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
2017-79-15/08/2019,1,1,Rider,Male,048,,Thrown Out,Treated at Hospital,,Pedal Cycle,,Straight Ahead,1.0,2 Metropolitan,2,1,Wednesday,11:15 am,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,Give Way Sign
2017-80-15/08/2019,1,1,Driver,Female,022,Driver,Not Thrown Out,Admitted to Hospital,Fitted - Worn,Motor Cars - Sedan,Unknown,Straight Ahead,2.0,3 Country,1,2,Tuesday,12:40 pm,110,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Roll Over,No Control
2017-80-15/08/2019,1,2,Passenger,Female,022,Front Seat Left Passenger,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Unknown,Straight Ahead,2.0,3 Country,1,2,Tuesday,12:40 pm,110,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Roll Over,No Control
2017-81-15/08/2019,1,1,Driver,Female,057,Driver,Not Thrown Out,Admitted to Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,2 Metropolitan,2,5,Wednesday,02:10 pm,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
2017-81-15/08/2019,2,1,Driver,Female,046,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Station Wagon,Provisional 2,Straight Ahead,4.0,2 Metropolitan,2,5,Wednesday,02:10 pm,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
2017-81-15/08/2019,2,2,Passenger,Female,020,Front Seat Left Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Station Wagon,Provisional 2,Straight Ahead,4.0,2 Metropolitan,2,5,Wednesday,02:10 pm,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
2017-81-15/08/2019,2,3,Passenger,Female,010,Rear Seat Right Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Station Wagon,Provisional 2,Straight Ahead,4.0,2 Metropolitan,2,5,Wednesday,02:10 pm,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
2017-81-15/08/2019,2,4,Passenger,Female,008,Rear Seat Left Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Station Wagon,Provisional 2,Straight Ahead,4.0,2 Metropolitan,2,5,Wednesday,02:10 pm,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
2017-83-15/08/2019,1,1,Driver,Male,056,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Station Wagon,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Wednesday,02:20 pm,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2017-84-15/08/2019,1,1,Passenger,Female,024,Front Seat Left Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Stopped on Carriageway,2.0,2 Metropolitan,2,1,Wednesday,02:00 pm,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-85-15/08/2019,2,1,Driver,Female,052,Driver,Not Thrown Out,Treated at Hospital,Fitted - Unknown if Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Wednesday,03:30 pm,60,Cross Road,Straight road,Slope,Dry,Not Raining,Daylight,Rear End,Traffic Signals
2017-86-15/08/2019,1,1,Driver,Male,080,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Left Turn,4.0,2 Metropolitan,3,4,Wednesday,01:15 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
2017-86-15/08/2019,1,2,Passenger,Female,007,Rear Seat Left Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Left Turn,4.0,2 Metropolitan,3,4,Wednesday,01:15 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
2017-86-15/08/2019,1,3,Passenger,Female,036,Front Seat Left Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Left Turn,4.0,2 Metropolitan,3,4,Wednesday,01:15 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
2017-86-15/08/2019,1,4,Passenger,Male,009,Rear Seat Right Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Left Turn,4.0,2 Metropolitan,3,4,Wednesday,01:15 pm,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
2017-87-15/08/2019,2,1,Driver,Male,080,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,2.0,2 Metropolitan,3,1,Wednesday,04:10 pm,60,Divided Road,Straight road,Slope,Dry,Not Raining,Daylight,Side Swipe,No Control
2017-88-15/08/2019,1,1,Driver,Female,022,Driver,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Full,Stopped on Carriageway,2.0,1 City,2,2,Tuesday,10:00 am,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-88-15/08/2019,1,2,Passenger,Male,XXX,Front Seat Left Passenger,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Full,Stopped on Carriageway,2.0,1 City,2,2,Tuesday,10:00 am,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-89-15/08/2019,1,1,Rider,Male,025,Rider of Motorcycle,Thrown Out,Treated at Hospital,,Motor Cycle,Full,Right Turn,1.0,2 Metropolitan,2,1,Wednesday,07:25 pm,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,Traffic Signals
2017-91-15/08/2019,2,1,Driver,Male,061,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Parked,1.0,2 Metropolitan,2,1,Wednesday,09:37 pm,60,Divided Road,Straight road,Level,Dry,Not Raining,Night,Hit Parked Vehicle,No Control
2017-93-15/08/2019,1,1,Rider,Male,020,Rider of Motorcycle,Thrown Out,Treated at Hospital,,Motor Cycle,Unlicenced,Straight Ahead,1.0,2 Metropolitan,1,1,Wednesday,11:30 pm,50,Not Divided,Straight road,Level,Dry,Not Raining,Night,Roll Over,No Control
2017-96-15/08/2019,1,1,Driver,Male,017,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Provisional 1 ,Straight Ahead,3.0,3 Country,2,3,Wednesday,01:40 pm,100,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2017-96-15/08/2019,1,2,Passenger,Male,021,Rear Seat Left Passenger,Not Thrown Out,Admitted to Hospital,Fitted - Worn,Motor Cars - Sedan,Provisional 1 ,Straight Ahead,3.0,3 Country,2,3,Wednesday,01:40 pm,100,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2017-96-15/08/2019,1,3,Passenger,Male,017,Front Seat Left Passenger,Not Thrown Out,Admitted to Hospital,Fitted - Worn,Motor Cars - Sedan,Provisional 1 ,Straight Ahead,3.0,3 Country,2,3,Wednesday,01:40 pm,100,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2017-99-15/08/2019,1,1,Driver,Female,044,Driver,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Full,Stopped on Carriageway,1.0,2 Metropolitan,2,1,Wednesday,02:00 pm,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
2017-106-15/08/2019,1,1,Driver,Female,045,Driver,Not Thrown Out,By Private,Fitted - Worn,Motor Cars - Sedan,Full,Stopped on Carriageway,1.0,2 Metropolitan,2,1,Thursday,09:15 am,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-113-15/08/2019,1,1,Driver,Female,032,Driver,Not Thrown Out,Treated at Hospital,Fitted - Unknown if Worn,Station Wagon,Full,Straight Ahead,5.0,2 Metropolitan,2,4,Wednesday,05:15 pm,90,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
2017-113-15/08/2019,1,2,Passenger,Female,003,Rear Seat Left Passenger,Not Thrown Out,Treated at Hospital,Child Restraint - Worn,Station Wagon,Full,Straight Ahead,5.0,2 Metropolitan,2,4,Wednesday,05:15 pm,90,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
2017-113-15/08/2019,1,3,Passenger,Female,010,Rear Seat Right Passenger,Not Thrown Out,Treated at Hospital,Fitted - Unknown if Worn,Station Wagon,Full,Straight Ahead,5.0,2 Metropolitan,2,4,Wednesday,05:15 pm,90,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
2017-113-15/08/2019,1,4,Passenger,Female,008,Rear Seat Middle Passenger,Not Thrown Out,Treated at Hospital,Fitted - Unknown if Worn,Station Wagon,Full,Straight Ahead,5.0,2 Metropolitan,2,4,Wednesday,05:15 pm,90,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
2017-117-15/08/2019,1,1,Passenger,Male,XXX,Front Seat Left Passenger,Not Thrown Out,Admitted to Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,5.0,2 Metropolitan,4,3,Wednesday,05:20 pm,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-117-15/08/2019,2,1,Driver,Male,059,Driver,Not Thrown Out,Admitted to Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,2 Metropolitan,4,3,Wednesday,05:20 pm,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-117-15/08/2019,3,1,Driver,Female,036,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,2 Metropolitan,4,3,Wednesday,05:20 pm,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-123-15/08/2019,2,1,Rider,Male,041,,Thrown Out,Admitted to Hospital,,Pedal Cycle,,Straight Ahead,1.0,2 Metropolitan,2,1,Thursday,11:00 am,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
2017-126-15/08/2019,1,1,Passenger,Male,017,Front Seat Left Passenger,Not Thrown Out,Treated at Hospital,Fitted - Unknown if Worn,Station Wagon,Provisional 1 ,Straight Ahead,2.0,2 Metropolitan,2,1,Thursday,06:25 pm,40,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2017-131-15/08/2019,4,1,Pedestrian,Female,053,,,Treated at Hospital,,Pedestrian on Footpath/Carpark,,Other (e.g. Police on Traffic Control),,2 Metropolitan,4,1,Friday,02:10 am,60,T-Junction,Straight road,Bottom of Hill,Dry,Not Raining,Night,Hit Parked Vehicle,No Control
2017-133-15/08/2019,1,1,Driver,Female,058,Driver,Not Thrown Out,Admitted to Hospital,Fitted - Unknown if Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,3 Country,3,1,Thursday,01:20 pm,110,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2017-134-15/08/2019,1,1,Driver,Male,020,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Station Wagon,Learners,Straight Ahead,2.0,2 Metropolitan,3,2,Wednesday,01:20 pm,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
2017-134-15/08/2019,1,2,Passenger,Male,022,Front Seat Left Passenger,Not Thrown Out,Treated at Hospital,Fitted - Worn,Station Wagon,Learners,Straight Ahead,2.0,2 Metropolitan,3,2,Wednesday,01:20 pm,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
2017-140-15/08/2019,2,1,Driver,Male,054,Driver,Thrown Out,Admitted to Hospital,Fitted - Not Worn,Utility,Full,Straight Ahead,1.0,3 Country,2,1,Friday,07:15 am,100,Not Divided,"CURVED, VIEW OBSCURED",Slope,Dry,Not Raining,Daylight,Head On,No Control
2017-142-15/08/2019,1,1,Passenger,Male,020,Rear Seat Right Passenger,Not Thrown Out,Treated at Hospital,Fitted - Not Worn,Utility,Provisional 2,Straight Ahead,2.0,3 Country,3,1,Friday,01:00 am,50,Not Divided,"CURVED, VIEW OBSCURED",Level,Dry,Not Raining,Night,Hit Parked Vehicle,No Control
2017-143-15/08/2019,1,1,Rider,Male,019,,Thrown Out,By Private,,Pedal Cycle,,Straight Ahead,1.0,2 Metropolitan,2,1,Friday,10:00 am,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
2017-147-15/08/2019,1,1,Rider,Male,025,Rider of Motorcycle,Thrown Out,By Private,,Motor Cycle,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Thursday,09:10 pm,50,Not Divided,Straight road,Level,Dry,Not Raining,Night,Hit Animal,No Control
2017-148-15/08/2019,2,1,Pedestrian,Male,079,,,Treated at Hospital,,Pedestrian on Footpath/Carpark,,Walking on Footpath,,2 Metropolitan,2,1,Friday,02:35 pm,60,Divided Road,Straight road,Slope,Dry,Not Raining,Daylight,Hit Pedestrian,No Control
2017-152-15/08/2019,1,1,Rider,Male,023,Rider of Motorcycle,Thrown Out,Treated at Hospital,,Motor Cycle,Full,Right Turn,1.0,2 Metropolitan,1,1,Thursday,09:30 pm,50,T-Junction,Straight road,Level,Dry,Not Raining,Night,Other,Roundabout
2017-154-15/08/2019,1,1,Driver,Female,050,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Straight Ahead,1.0,3 Country,2,2,Friday,09:00 am,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
2017-154-15/08/2019,2,1,Driver,Female,091,Driver,Not Thrown Out,Treated at Hospital,Fitted - Worn,Motor Cars - Sedan,Full,Right Turn,1.0,3 Country,2,2,Friday,09:00 am,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
2017-156-15/08/2019,1,1,Driver,Male,045,Driver,Not Thrown Out,Treated at Hospital,Fitted - Unknown if Worn,Station Wagon,Unlicenced,Straight Ahead,1.0,2 Metropolitan,2,2,Friday,04:02 pm,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Head On,No Control
